Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Juez Dredd;Blu-Ray;Limitada funda cartón;1;Danny Cannon;1995;Ciencia ficción. Acción. Fantástico | Cómic.;Sylvester Stallone. Edición especial limitada 0379/1000. Incluye 8  postales. TS427. Caja de cartón con Amaray dentro.;Caja 1, debajo cama (2)
La Máscara;Blu-Ray;Limitada funda cartón;1;Chuck Russell;1994;Comedia. Fantástico | Mafia. Cómic;Jim Carrey. Edición especial limitada 1195/1900. Incluye 8  postales. TS384. Caja de cartón con Amaray dentro.;Caja 1, debajo cama (2)
House, una casa alucinante;DVD;Digipack;1;Steve Miner;1986;Terror. Fantástico. Comedia.  Comedia de terror.;House Saga Completa. 4 peliculas en DVD. Incluye 8 postales. Ed. limitada 0434/1500;
House II, aún más alucinante;DVD;Digipack;1;Ethan Wiley;1987;Terror. Fantástico. Comedia | Sobrenatural.;House Saga Completa. 4 peliculas en DVD. Incluye 8 postales. Ed. limitada 0434/1500;
House III;DVD;Digipack;1;James Isaac, David Blyth;1989;Terror. Fantástico. Comedia | Sobrenatural.;House Saga Completa. 4 peliculas en DVD. Incluye 8 postales. Ed. limitada 0434/1500;
House IV;DVD;Digipack;1;Lewis Abernathy;1992;Terror. Fantástico. Comedia | Comedia de terror;House Saga Completa. 4 peliculas en DVD. Incluye 8 postales. Ed. limitada 0434/1500;
Balto La leyenda del perro esquimal;DVD;Sencilla;1;Simon Wells;1995;Animación. Aventuras. Infantil. Drama;Universal. Edición sencilla en DVD (2002);
El Rey Leon 2;DVD;Sencilla;1;Darrell Rooney, Rob LaDuca;1998;Animación. Comedia. Romance. Musical. Infantil;Edición DVD de segunda mano comprado en Cex. Edición especial. Walt Disney Pictures / Disney;
El Rey Leon 3;DVD;Sencilla;1;Bradley Raymond;2004;Animación. Comedia. Infantil | África;Edición DVD de segunda mano comprado en Cex (no incluye segundo disco). Edición especial. Walt Disney Pictures / Disney;
Pippi Calzaslargas;DVD;Sencilla con funda cartón;3;Olle Hellbom;1969;Serie de TV. Comedia. Infantil. Aventuras;Suecia. Planeta Junior. Serie completa 21 episodios remasterizada. DVD en funda de carton con 4 postales. 39 Escalones;
A toda Marcha;DVD;Sencilla;1;Fritz Kiersch;1985;Drama | Bandas/pandillas callejeras;Robert Downey JR. Ref. TS 179;
La abeja Maya: Los juegos de la miel;DVD;Sencilla;1;Noel Cleary, Alexs Stadermann;2017;Animación. Infantil | Secuela. Insectos;"Distribuido por Sony. Co-production Australia-Alemania; Studio 100, Studio B Animation, Flying Bark Productions. Audio catalán";
Gigolo (Just a Gigolo);DVD;Pack DVD Sencillo;1;David Hemmings;1979;Drama | Prostitución. Años 20;5 Peliculas de David Bowie en un pack. Alemania del Oeste (RFA);
El ansia;DVD;Pack DVD Sencillo;1;Tony Scott;1983;Terror. Romance | Vampiros. Homosexualidad;5 Peliculas de David Bowie en un pack.;
Cuando llega la noche;DVD;Pack DVD Sencillo;1;John Landis;1985;Comedia;5 Peliculas de David Bowie en un pack.;
Absolute Beginners (Principiantes);DVD;Pack DVD Sencillo;1;Julien Temple;1986;Musical. Drama. Romance | Años 50. Racismo;5 Peliculas de David Bowie en un pack.;
Basquiat;DVD;Pack DVD Sencillo;1;Julian Schnabel;1996;Drama | Biográfico. Pintura. Años 80;5 Peliculas de David Bowie en un pack.;
El Aviador;DVD;Steelbook;2;Martin Scorsese;2004;Drama | Biográfico. Cine dentro del cine. Aviones. Años 20;Star MetalPack Patent Pending. DVD con la pelicula y DVD con contenidos especiales. Caracteristicas impresas en el propio metal.;
Aladdin;DVD;Pack Cartón 3 DVD;1;John Musker, Ron Clements;1992;Animación. Fantástico. Musical. Infantil. Aventuras;Colección 3 Peliculas Aladdín 1, 2 & 3.;
El retorno de Jafar;DVD;Pack Cartón 3 DVD;1;Toby Shelton, Tad Stones, Zaslove;1994;Animación. Aventuras. Fantástico. Infantil | Secuela;Colección 3 Peliculas Aladdín 1, 2 & 3.;
Aladdin y el rey de los ladrones;DVD;Pack Cartón 3 DVD;1;Tad Stones;1995;Animación. Aventuras. Musical. Infantil | Secuela;Colección 3 Peliculas Aladdín 1, 2 & 3.;
Fraggle Rock;DVD;Pack DVD Sencillo;4;Jim Henson;1983;Serie de TV. Animación. Infantil. Comedia. Musical | Marionetas;Primera temporada completa. 24 episodios. Los Fraguel (Serie de TV) Ref. TS349;
