Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Sin identidad;Blu-Ray;Pack Blu-Ray Sencillo;7;Sergi Belbel (Creator), Joan Noguera;2014;Serie de TV. Drama | Secuestros / Desapariciones;Serie completa. ATRESMEDIA Corporación para Divisa Home Video.;
El mundo en Guerra;Blu-Ray;Pack Blu-Ray Sencillo;9;Jeremy Isaacs (Creator), Hugh Raggett, John Pett;1974;Documental. Serie de TV. Bélico | Documental sobre Historia;Llamentol. Edición cutre con caratula fotocopiada. Serie Documental. Caja negra con 9 discos.;
The Amazing Spider-man;Blu-Ray 3D;Sencilla 3D;1;Marc Webb;2012;Fantástico. Acción. Romance | Adolescencia.;Edición Blu-Ray 3D un solo disco. Funda Blu-Ray Transparente. Distribuido por Sony (Solo uso promocional);
Spider-man;Blu-Ray;Sencilla;1;Sam Raimi;2002;Fantástico. Acción | Superhéroes. Cómic.;Pack con las trilogía original. Distribuido por Sony (Solo uso promocional). Columbia Pictures. Marvel;
Spider-man 2;Blu-Ray;Sencilla;1;Sam Raimi;2004;Fantástico. Acción | Superhéroes. Cómic;Pack con las trilogía original. Distribuido por Sony (Solo uso promocional). Columbia Pictures. Marvel;
Spider-man 3;Blu-Ray;Sencilla;1;Sam Raimi;2007;Fantástico. Acción | Superhéroes. Cómic;Pack con las trilogía original. Distribuido por Sony (Solo uso promocional). Columbia Pictures. Marvel;
Regreso al Futuro;Blu-Ray;Pack Amaray gordo;1;Robert Zemeckis;1985;Ciencia ficción. Comedia. Fantástico. Aventuras;Universal. Pack con las tres peliculas. (Colección definitiva);
Regreso al Futuro II;Blu-Ray;Pack Amaray gordo;1;Robert Zemeckis;1989;Ciencia ficción. Comedia. Fantástico. Aventuras;Universal. Pack con las tres peliculas. (Colección definitiva);
Regreso al Futuro III;Blu-Ray;Pack Amaray gordo;1;Robert Zemeckis;1990;Ciencia ficción. Comedia. Fantástico. Aventuras;Universal. Pack con las tres peliculas. (Colección definitiva);
Los Vengadores;Blu-Ray 3D;Sencilla 3D;2;Joss Whedon;2012;Fantástico. Acción. Ciencia ficción | Superhéroes.;Distribuido por Sony. 2 Discos. Pelicula en 3D y normal con extras. Paramount.;
Vengadores: La era de Ultrón;Blu-Ray 3D;Sencilla 3D;2;Joss Whedon;2015;Fantástico. Acción. Ciencia ficción. Aventuras;Distribuido por Sony. 2 Discos. Pelicula en 3D y normal con extras.;
Capitán América Civil War;Blu-Ray 3D;Sencilla 3D;2;Anthony Russo, Joe Russo;2016;Acción. Thriller. Fantástico | Superhéroes. Cómic.;Distribuido por Sony. 2 Discos. Pelicula en 3D y normal con extras.;
Harry Potter Y las Reliquias de la muerte parte 1;Blu-Ray;Especial;2;David Yates;2010;Fantástico. Aventuras. Drama | Magia;Edición especial 2 discos con extras. Warner Bros;
Harry Potter Y las Reliquias de la muerte parte 2;Blu-Ray;Sencilla;2;David Yates;2011;Fantástico. Aventuras. Drama | Secuela. Magia.;Edición especial 2 discos con extras. Warner Bros. Modo Maximum Movie.;
La Zona;Blu-Ray;Sencilla con funda cartón;2;Hermanos Sánchez-Cabezudo;2017;Serie de TV. Thriller | Policíaco. Catástrofes;Serie de TV (8 episodios) en dos discos. Serie original de Movistar+. Distribuida por Divisa. Slip-case. Edición del 2018;
Una carta para Momo;Blu-Ray/DVD + DVD;Coleccionista;3;Hiroyuki Okiura;2011;Animación. Drama. Fantástico. Comedia | Familia;Selecta Visión. Incluye libreto 24 paginas. Ed. Coleccionista con amaray azul (3 discos), funda de cartón. Sitges 2011. PRODUCTION I.G. Sony Pictures.;
Las vacaciones de Jesús y Buda;Blu-Ray/DVD + DVD;Coleccionista;3;Noriko Takao;2013;Animación. Comedia. Aventuras | Amistad. Religión.;Selecta Visión. Saint Young Men. Manga: Hikaru Nakamura. Incluye libreto de 40 páginas. Ed. Coleccionista con amaray azul (3 discos), funda de cartón. ANIPLEX. 20th Centuty Fox.;
MazinKaiser;Blu-Ray;Coleccionista;2;Masahiko Murata;2001;Serie de TV. Animación. Ciencia ficción. Acción | Robots. Manga;Selecta Visión. Serie completa 7 OVA. Incluye libreto de 60 páginas. Edición restaurada - Íntegra y sin censura. Showgate. 20th Centuty Fox.;
Ataque a los Titanes;Blu-Ray;Digipack;1;Shinji Higuchi;2015;Ciencia ficción. Acción | Manga. Live-Action;M3 (Mediatres estudio). Pack con las dos peliculas, incluye libreto y 6 postales. Sitges 2015. Toho.;
Ataque a los Titanes 2: El fin del mundo;Blu-Ray;Digipack;1;Shinji Higuchi;2015;Ciencia ficción. Acción | Fin del mundo. Live-Action;M3 (Mediatres estudio). Pack con las dos peliculas, incluye libreto y 6 postales. Sitges 2015. Toho.;
The Sky Crawlers;DVD;Sencilla con funda cartón;2;Mamoru Oshii;2008;Animación. Aventuras. Bélico. Ciencia ficción;Selecta Visión. Surcadores del cielo (Sukai kurora). Edición coleccionista 2DVD. Sitges 2008.  PRODUCTION I.G. Paramount.;
Perseguido;Blu-Ray/DVD;Coleccionista (VHS);2;Paul Michael Glaser;1987;Ciencia ficción. Acción | Thriller futurista. Distopía.;Edición coleccionista Blu-Ray + DVD extras. Limitada 936 de 1.000 ejemplares. Formato replica VHS. Contiene 8 postales exclusivas. Ref. TS339;
Princesa Arete;Blu-Ray;Sencilla;1;Sunao Katabuchi;2001;Animación. Fantástico. Drama;Selecta Visión. Studio 4°C. Edición 2018;
Mai Mai Miracle;Blu-Ray;Sencilla;1;Sunao Katabuchi;2009;Animación. Drama | Años 50. Amistad. Familia;Selecta Visión. Madhouse / Avex Entertainment / Shôchiku. 20th Century Fox. Edición 2018;
En este rincón del mundo;Blu-Ray;Sencilla;1;Sunao Katabuchi;2016;Animación. Drama | Familia. II Guerra Mundial.;Selecta Visión. MAPPA, Genco. 20th Century Fox. Edición 2017;
Lu Over The Wall;Blu-Ray;Sencilla;1;Masaaki Yuasa;2017;Animación. Fantástico. Comedia | Música.;Selecta Visión.20th Century Fox. Incluye entrevista al director. Science SARU / TOHO Animation.;
Night is Short, walk on Girl;Blu-Ray;Sencilla;1;Masaaki Yuasa;2017;Animación. Romance. Fantástico. Comedia;Selecta Visión.20th Century Fox. Incluye entrevista al director. Nakame Comittee;
FireWorks;Blu-Ray;Sencilla;1;Akiyuki Shinbo, Nobuyuki Takeuchi;2017;Animación. Romance. Fantástico | Adolescencia;Selecta Visión. TOHO. 20th Century Fox. Incluye postal exclusiva. Festival Interancional de Cine San Sebastian 2017;
Bayonetta Bloody Fate;Blu-Ray;Sencilla;1;Fuminori Kizaki;2013;Animación. Acción. Fantástico | Brujería.;Selecta Visión. Gonzo, Showgate. Sega.  Adaptación anime del videojuego homónimo.;
Doraemon: The Space Hero;DVD;Sencilla;1;Hideo Nishimaki;1981;Animación. Ciencia ficción. Aventuras. Infantil;LUK INTERNATIONAL. Distribuida por Sony. Audio Catalán. Edición 2012;
Doraemon y el Mundo Perdido;DVD;Sencilla;1;Hideo Nishimaki;1982;Animación. Comedia. Aventuras. Fantástico. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán.;
Doraemon Atlantis: El Castillo del Mal;DVD;Sencilla;1;Tsutomu Shibayama;1983;Animación. Fantástico. Aventuras. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Corto Aventuras en un tren.;
Doraemon y los caballeros emmascarados;DVD;Sencilla con funda cartón;2;Tsutomu Shibayama;1987;Animación. Aventuras. Comedia. Fantástico.;LUK INTERNATIONAL. Distribuida comercialmente por Buena Vista Home Entertainment. Audio Catalán. Incluye libreto y corto Dorami y los 7 Doraemons;
Doraemon y el viaje a la Antigua China;DVD;Sencilla;1;Tsutomu Shibayama;1988;Animación. Ciencia ficción. Comedia. Infantil | Manga;LUK INTERNATIONAL. Distribuida por Sony. Audio Catalán. Edición 2012;
Doraemon Animal Planet;DVD;Sencilla con funda cartón;2;Tsutomu Shibayama;1990;Animación. Fantástico. Aventuras. Comedia.;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto y corto Dorami y los bandidos calavera.;
Doraemon y las mil y una aventuras;DVD;Sencilla;1;Tsutomu Shibayama;1991;Animación. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Buena Vista Home Entertainment. Audio Catalán. Incluye libreto;
Doraemon y el Misterio de las Nubes;DVD;Sencilla;1;Tsutomu Shibayama;1992;Animación. Fantástico. Aventuras | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto y corto. El nacimiento de Doraemon (1995);
Doraemon y el secreto del laberinto;DVD;Sencilla;1;Tsutomu Shibayama;1993;Animación. Aventuras. Fantástico | Manga;LUK INTERNATIONAL. Distribuida por Sony. Audio Catalán.  (Segunda mano);
Doraemon y el secreto del laberinto;DVD;Sencilla;1;Tsutomu Shibayama;1993;Animación. Aventuras. Fantástico | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto;
Doraemon y el tren del tiempo;DVD;Sencilla;1;Tsutomu Shibayama;1996;Animación. Fantástico. Aventuras. Comedia. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto. (Segunda mano);
Doraemon y la fábrica de juguetes;DVD;Sencilla;1;Tsutomu Shibayama;1997;Animación. Fantástico. Aventuras. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto y corto El retorno de Doraemon;
Doraemon y los piratas de los mares del sur;DVD;Sencilla;1;Tsutomu Shibayama;1998;Animación. Infantil. Fantástico. Aventuras;LUK INTERNATIONAL. Distribuida por Sony. Audio Catalán.;
Doraemon y los piratas de los mares del sur;DVD;Sencilla;1;Tsutomu Shibayama;1998;Animación. Infantil. Fantástico. Aventuras;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto. (Segunda mano);
Doraemon y el imperio maya;DVD;Sencilla;1;Tsutomu Shibayama;2000;Animación. Fantástico. Acción. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto. Entrevista exclusiva con la dobladora de Doraemon en Japón.;
Doraemon en el mágico mundo de las aves;DVD;Sencilla con funda cartón;2;Tsutomu Shibayama;2001;Animación. Aventuras. Comedia. Fantástico. Infantil | Aves/Pájaros;LUK INTERNATIONAL. Distribuida comercialmente por Buena Vista Home Entertainment. Audio Catalán. Incluye libreto y corto Dorami S.O.S.;
Doraemon: el gladiador;DVD;Sencilla;1;Tsutomu Shibayama;2004;Animación. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Walt Disney. Audio Catalán. Incluye libreto y corto Doraemon: La boda de Nobita y Shizuka (1999);
Doraemon: Odisea en el espacio;DVD;Lata (Especial);2;Tsutomu Shibayama;2004;Animación. Ciencia ficción. Aventuras. Comedia;Edición caja metálica. LUK INTERNATIONAL. Audio Catalán. Incluye poster, yo-yó, 4 postales e imán. Distribuido por Sony y Disney ¿? Inlciye el corto The Doraemons, la gran misión de los insectos. DVD Slim.;
Doraemon y los dioses del viento;DVD;Sencilla con funda cartón;2;Tsutomu Shibayama;2005;Animación. Infantil | Manga;LUK INTERNATIONAL. Distribuida comercialmente por Buena Vista Home Entertainment. Audio Catalán. Incluye libreto y corto Doraemon: Quien es Momotaro para mí (1981);
Doraemon y el pequeño dinosaurio;DVD;Sencilla con funda cartón;2;Ayumu Watanabe;2006;Animación. Fantástico. Aventuras. Infantil | Dinosaurios. Manga;LUK INTERNATIONAL. Distribuida comercialmente por Buena Vista Home Entertainment. Audio Catalán. Incluye libreto y corto Dorami Hola Dinosaurio;
Doraemon y los siete magos;DVD;Lata (Especial);2;Yukiyo Teramoto;2007;Animación. Aventuras. Infantil | Manga;Edición caja metálica. LUK INTERNATIONAL. Audio Catalán. Incluye poster y 4 postales. Distribuido por Walt Disney. DVD's en fundas de papel, sueltos.;
Doraemon y el Reino de Kibo;DVD;Lata (Especial);2;Ayumu Watanabe;2008;Animación. Aventuras. Infantil | Manga;Edición caja metálica. LUK INTERNATIONAL. Audio Catalán. Incluye camiseta y muñeco andarín. Distribuido por Walt Disney. Dentro viene el DVD standard dos discos.;
Doraemon y el reino perruno;Blu-Ray;Sencilla;1;Shinnosuke Yakuwa;2014;Animación. Fantástico | Manga. Remake;Selecta Visión. Luk International. Shin-Ei. Toho. Asatsu DK. Fujiko Pro. Shogakukan-Shueisha. TV Asahi. Edición 2017;
Stand by Me Doraemon;Blu-Ray/DVD + DVD;Coleccionista;3;Takashi Yamazaki, Ryûichi Yagi;2014;Animación. Fantástico. Aventuras. Infantil;Selecta Visión. Luk International. Fujiko Pro.Incluye libreto de 28 páginas. El disco de extras va en funda de plastico, suelto dentro del amaray.;
Ghost in the Shell: The Rising;Blu-Ray/DVD + DVD;Coleccionista;3;Kazuya Nomura;2015;Animación. Ciencia ficción | Cyberpunk. Manga;Selecta Visión. Production I.G. Kodansha. 20th Century Fox. Incluye libreto exclusivo de 52 páginas y DVD con extras.;
No Game, No Life;Blu-Ray/DVD + DVD + CD;Coleccionista;6;Atsuko Ishizuka, Takashi Ikehata;2014;Serie de TV. Animación. Fantástico. Comedia;Selecta Visión. Serie TV, 12 episodios. Serie en 2BR 1 DVD de extras y 3 CD con la B.S.O. Incluye libreto de 60 páginas.;
Sword Art Online: Extra Edition;Blu-Ray/DVD;Coleccionista;2;Tomohiko Ito;2013;Animación. Fantástico. Aventuras;Selecta Visión. ANIPLEX. 20th Century Fox. Incluye Pelicula en BD y DVD y libreto de 16 páginas. Película-resumen de la primera temporada de la serie Sword Art Online.;
En busca del valle encantado;DVD;Pack DVD Sencillo;1;Don Bluth;1988;Animación. Aventuras. Drama. Infantil;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En busca del valle encantado II: Aventuras en el Gran Valle;DVD;Pack DVD Sencillo;1;Roy Allen Smith;1994;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En busca del valle encantado III: La fuente de la vida;DVD;Pack DVD Sencillo;1;Roy Allen Smith;1995;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En busca del Valle Encantado IV: Viaje a la tierra de las brumas;DVD;Pack DVD Sencillo;1;Roy Allen Smith;1996;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado V: La isla misteriosa;DVD;Pack DVD Sencillo;1;Charles Grosvenor;1997;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado VI: El Secreto de la Roca del Saurio;DVD;Pack DVD Sencillo;1;Charles Grosvenor;1998;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado VII: La Misteriosa Piedra de Fuego;DVD;Pack DVD Sencillo;1;Charles Grosvenor;2000;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado VIII: La gran helada;DVD;Pack DVD Sencillo;1;Charles Grosvenor;2001;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado IX: Travesía a los océanos;DVD;Pack DVD Sencillo;1;Charles Grosvenor;2002;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado X: El viaje de los Cuellilargos;DVD;Pack DVD Sencillo;1;Charles Grosvenor;2003;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado XI: La Invasión de los Diminusaurios;DVD;Pack DVD Sencillo;1;Charles Grosvenor;2004;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En Busca del Valle Encantado XII: El gran día de los voladores;DVD;Pack DVD Sencillo;1;Charles Grosvenor;2006;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En busca del valle encantado XIII: La sabiduría de los amigos;DVD;Pack DVD Sencillo;1;Jamie Mitchell, Charles Grosvenor;2007;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
En busca del valle encantado XIV: Viaje de los valientes;DVD;Pack DVD Sencillo;1;Davis Doi, Tony Tulipano;2016;Animación. Aventuras. Infantil | Prehistoria.;En busca del Valle encantado. Colección Completa 1-14. Universal. VPRC;
BubbleGum Crash;DVD;Sencilla;1;Hiroshi Ishiodori, Hiroyuki Fukushima;1991;Animación. Ciencia ficción. Acción | Cyberpunk;Selecta Visión.  Película formada por 3 OVAs de 45 minutos de duración cada una.;
Dead Leaves;DVD;Sencilla;1;Hiroyuki Imaishi;2004;Animación. Ciencia ficción. Aventuras. Acción. Comedia;Selecta Visión. Production I.G / Gainax. Distribuido por Universal;
AD. Police;DVD;Sencilla;1;Akira Nishimori, Takamasa Ikegami;1990;Animación. Acción. Ciencia ficción | Cyberpunk. Manga;Selecta Visión. Distribuido por Universal. Serie de 3 OVAs estrenadas directamente en video;
Mr. Bean;DVD;Pack DVD Sencillo;4;Rowan Atkinson (Creator), Paul Weiland;1990;Serie de TV. Comedia | Sitcom. Sketches;Universal. Serie de TV (1990-1995). 15 episodios. (Serie completa) Tiger Aspect pictures;
Pokémon La película. Mewtwo VS Mew;DVD;Sencilla amarilla;1;Kunihiko Yuyama;1998;Animación. Aventuras. Ciencia ficción. Fantástico.;4Kids / Warner Bros. Incluye Pokémon: Las vacaciones de Pikachu;
Pokémon Mewtwo: El regreso;DVD;Sencilla cartón;1;Masamitsu Hidaka;2000;Animación. Aventuras. Infantil. Fantástico;4Kids / Warner Bros.;
Star Trek, la película;Blu-Ray;Pack Digipack;1;Robert Wise;1979;Ciencia ficción. Acción | Aventura espacial. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek II. La ira de Khan;Blu-Ray;Pack Digipack;1;Nicholas Meyer;1982; Ciencia ficción | Aventura espacial. Secuela. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek III. En busca de Spock;Blu-Ray;Pack Digipack;1;Leonard Nimoy;1984;Ciencia ficción | Aventura espacial. Secuela. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek IV. Misión: salvar la Tierra;Blu-Ray;Pack Digipack;1;Leonard Nimoy;1986;Ciencia ficción Aventura espacial. Viajes en tiempo.;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek V. La última frontera;Blu-Ray;Pack Digipack;1;William Shatner;1989;Ciencia ficción | Aventura espacial. Secuela. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek VI. Aquel país desconocido;Blu-Ray;Pack Digipack;1;Nicholas Meyer;1991;Ciencia ficción | Aventura espacial. Secuela. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek. La próxima generación;Blu-Ray;Pack Digipack;1;David Carson;1994;Ciencia ficción | Aventura espacial. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek: Primer contacto;Blu-Ray;Pack Digipack;1;Jonathan Frakes;1996;Ciencia ficción | Aventura espacial. Viajes en el tiempo;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
Star Trek: Insurrección;Blu-Ray;Pack Digipack;1;Jonathan Frakes;1998;Ciencia ficción | Aventura espacial. Secuela. Star Trek;Paramount Pictures. Colección Stardate. Caja de cartón con dos digipacks. Total de 12 discos. 10 peliculas y 2 de extras);
